,gameName,gameSize,COLDPOWER2021,CrocodileAgent2020,IS3,Mertacor2021,TUC_TAC,UTA_PTA2021,VidyutVanika
176,finals_2021_177,3,-786207.2733325438,,7658228.708048866,,-3253574.745648433,,
177,finals_2021_178,3,,-842456.1885395619,4745629.835981755,,-3369482.647977801,,
178,finals_2021_179,3,1145141.3326637556,2411881.4553935425,,,6848433.21621517,,
179,finals_2021_180,3,684551.4735913094,12653784.69703735,720435.6203118433,,,,
180,finals_2021_181,3,,,-111690.60130614214,389191.9149196434,1407756.3820648228,,
181,finals_2021_182,3,-5988.6914235705935,,,371105.9567978908,1984665.547988612,,
182,finals_2021_183,3,-277137.53584323655,,265740.006995291,7947976.055944284,,,
183,finals_2021_184,3,,93661.4940005023,,1019154.9123417434,1689862.1149597887,,
184,finals_2021_185,3,,1460787.4985143868,2556199.906569289,1596963.827896093,,,
185,finals_2021_186,3,321637.1560884292,1376868.716762143,,1853939.803724282,,,
186,finals_2021_187,3,,,15800.729225310932,,771590.8851872566,690060.1710470566,
187,finals_2021_188,3,306888.3012891297,,,,1793839.6043459182,387840.5875659245,
188,finals_2021_189,3,-252239.15263982967,,-76750.88613208596,,,3219199.2111832006,
189,finals_2021_190,3,,-592016.4285577657,,,967541.617875156,494365.9499651842,
190,finals_2021_191,3,,11743330.521716896,745562.8142643847,,,0.0,
191,finals_2021_192,3,1478454.495704403,11000990.6147474,,,,0.0,
192,finals_2021_193,3,,,,-1054066.206045105,-580081.1961887223,-1067414.4334180583,
193,finals_2021_194,3,,,-166392.32185830775,618592.33621358,,1055491.3932847425,
194,finals_2021_195,3,-319639.4838737045,,,-395431.5866365071,,0.0,
195,finals_2021_196,3,,853554.1681576889,,1628301.3567761583,,269497.18521627097,
196,finals_2021_197,3,,,-86398.19588882668,,2088316.4682646927,,2746818.815813074
197,finals_2021_198,3,91721.26158866206,,,,414888.3600398709,,1793972.89566713
198,finals_2021_199,3,466377.4077408387,,135701.80523898025,,,,11017596.472175166
199,finals_2021_200,3,,384327.8116062016,,,983196.9140471648,,327122.8641680916
200,finals_2021_201,3,,2370043.440210745,136923.81551885873,,,,10513652.274526885
201,finals_2021_202,3,988270.9682727824,-582310.7860969764,,,,,6818865.7750997525
202,finals_2021_203,3,,,,-16540893.336503904,-48192.09230552203,,1507499.326628277
